ID;VALUE1;VALUE2;VALUE3;VALUE4;VALUE5;VALUE6;VALUE7;VALUE8;VALUE9;VALUE10;VALUE12;VALUE11;_ID;_LATITUDE;_LONGITUDE;_ELEVATION;_STATE
USW00024283;8.23;6.55;6.28;4.36;2.69;1.34;0.29;0.42;0.95;2.87;8.44;6.73;USW00024283;40.9781;-124.1086;61;CA
USW00024286;10.39;8.88;7.86;5.20;2.87;1.73;0.41;0.52;0.93;4.24;11.27;9.73;USW00024286;41.7803;-124.2367;17.1;CA
USC00040029;1.70;1.59;1.76;1.44;1.60;0.97;0.26;0.32;0.57;1.14;2.16;2.01;USC00040029;41.1936;-120.9447;1278.6;CA
USC00040136;3.03;3.60;3.14;1.24;0.36;0.15;0.23;0.15;0.27;0.74;2.11;1.75;USC00040136;32.8358;-116.7775;516.6;CA
USC00040161;1.24;1.22;1.44;1.16;1.44;0.78;0.24;0.34;0.51;0.85;1.50;1.72;USC00040161;41.4931;-120.5528;1341.1;CA
USC00040192;2.86;3.08;1.90;0.80;0.28;0.10;0.03;0.01;0.25;0.72;2.02;1.38;USC00040192;33.8647;-117.8425;102.1;CA
USC00040212;7.76;7.75;5.66;2.34;1.53;0.29;0.01;0.06;0.46;2.19;8.09;5.16;USC00040212;38.5731;-122.4406;522.7;CA
USC00040232;2.66;2.35;2.08;0.78;0.43;0.09;-77.77;0.02;0.18;0.62;2.41;1.60;USC00040232;37.9856;-121.7458;18.3;CA
USC00040343;4.90;4.83;4.33;2.61;1.12;0.40;0.11;0.03;0.44;1.44;3.99;2.91;USC00040343;36.4914;-118.8253;520.6;CA
USC00040379;5.22;4.64;4.26;1.97;0.99;0.31;0.07;0.05;0.38;1.50;4.24;2.62;USC00040379;37.0919;-119.5128;637;CA
USC00040383;6.36;6.28;5.81;2.87;1.59;0.37;-77.77;0.07;0.60;2.08;6.73;4.39;USC00040383;38.9072;-121.0839;393.8;CA
USC00040436;0.59;0.83;0.56;0.18;0.09;0.06;0.31;0.48;0.31;0.21;0.53;0.33;USC00040436;35.2761;-116.0628;293.2;CA
USC00040444;1.48;1.47;1.44;0.61;0.31;0.09;0.03;0.05;0.18;0.41;1.07;0.89;USC00040444;35.4186;-119.0508;143.3;CA
USW00053119;2.04;1.73;1.63;0.79;0.42;0.15;0.02;0.02;0.17;0.50;1.63;1.00;USW00053119;36.3189;-119.6289;75.9;CA
USC00040449;6.32;5.68;4.82;2.62;1.24;0.45;0.17;0.02;0.64;1.55;4.65;3.10;USC00040449;36.9092;-119.0883;524.3;CA
USW00053120;3.32;3.11;3.08;1.40;0.30;0.12;0.13;0.15;0.29;0.72;2.23;1.19;USW00053120;33.0375;-116.9158;424.6;CA
USC00040521;0.84;0.96;0.68;0.21;0.07;0.05;0.30;0.27;0.34;0.32;0.78;0.48;USC00040521;34.8928;-117.0219;676.7;CA
USW00053121;2.65;3.07;2.21;0.97;0.26;0.11;0.12;0.15;0.24;0.70;2.15;1.03;USW00053121;33.2194;-117.3494;8.5;CA
USC00040673;10.06;9.90;7.16;3.24;1.23;0.23;0.01;0.06;0.27;2.35;9.88;6.09;USC00040673;37.0856;-122.0797;128;CA
USC00040693;4.98;5.21;3.86;1.66;0.86;0.15;0.01;0.06;0.24;1.37;5.04;3.30;USC00040693;37.8744;-122.2606;94.5;CA
USC00040738;6.12;5.30;4.28;2.36;1.72;0.51;0.17;0.34;0.63;2.30;7.36;5.34;USC00040738;40.7406;-123.2078;381.9;CA
USC00040741;4.14;4.07;2.56;0.94;0.35;0.15;0.58;1.10;0.46;0.90;3.10;1.75;USC00040741;34.2442;-116.9039;2060.4;CA
USC00040755;6.11;5.84;4.85;3.03;1.59;0.41;0.27;0.09;0.54;2.07;5.10;3.96;USC00040755;37.2064;-119.2419;1486.8;CA
USW00053150;6.95;7.80;5.81;3.42;2.28;0.61;0.18;0.13;0.58;2.76;6.70;4.52;USW00053150;37.7592;-119.8208;2017.8;CA
USC00040790;9.21;8.65;6.67;3.00;1.05;0.23;0.03;0.05;0.42;2.11;8.63;4.83;USC00040790;36.2472;-121.7803;61;CA
USC00040924;0.56;0.58;0.40;0.09;0.04;-77.77;0.22;0.42;0.45;0.20;0.58;0.23;USC00040924;33.6131;-114.5972;81.7;CA
USC00040931;3.40;3.39;2.77;1.36;0.98;0.53;0.46;0.38;0.89;1.48;3.93;2.86;USC00040931;39.3886;-120.0936;1699.3;CA
USC00040943;1.66;1.56;1.49;0.93;0.70;0.76;0.72;0.45;0.46;0.53;1.44;1.09;USC00040943;38.2119;-119.0142;2551.2;CA
USC00040983;1.14;1.32;0.84;0.17;0.05;0.02;0.30;0.44;0.31;0.24;0.91;0.39;USC00040983;33.2314;-116.4144;245.4;CA
USC00041018;10.05;10.89;9.41;5.16;3.54;1.01;0.18;0.26;1.07;3.95;12.59;8.30;USC00041018;39.4539;-120.6556;1641.3;CA
USC00041048;0.48;0.53;0.33;0.05;0.02;-77.77;0.08;0.21;0.16;0.25;0.48;0.19;USC00041048;32.9544;-115.5581;-30.5;CA
USC00041072;1.25;1.63;0.97;0.46;0.48;0.28;0.33;0.46;0.45;0.33;1.70;1.06;USC00041072;38.2575;-119.2286;1972.1;CA
USC00041214;4.56;4.14;3.88;2.27;1.75;0.73;0.28;0.31;0.49;1.70;5.07;3.24;USC00041214;40.8803;-121.6547;974.8;CA
USC00041244;1.28;1.18;1.21;0.50;0.20;0.06;0.01;0.03;0.09;0.33;0.94;0.57;USC00041244;35.4047;-119.4731;82;CA
USC00041253;4.94;5.18;3.93;1.43;0.46;0.05;0.01;0.03;0.13;0.99;3.36;1.58;USC00041253;34.5825;-119.9817;238.7;CA
USC00041277;10.24;10.00;8.25;4.64;2.62;0.80;0.13;0.09;0.84;3.38;9.58;6.43;USC00041277;38.2769;-120.3114;1431;CA
USC00041312;8.16;7.79;5.77;2.39;1.40;0.22;0.03;0.05;0.32;2.11;7.88;4.75;USC00041312;38.5961;-122.6014;121.9;CA
USC00041316;3.54;2.75;2.19;1.37;1.28;0.76;0.46;0.32;0.45;1.36;4.05;2.99;USC00041316;41.3111;-122.8045;970.8;CA
USC00041428;4.14;3.86;3.80;1.99;1.17;0.29;0.01;0.04;0.44;1.31;3.75;2.69;USC00041428;38.2486;-120.8433;200.6;CA
USC00041484;3.62;4.65;2.86;1.02;0.31;0.07;0.02;0.05;0.14;0.93;2.76;1.34;USC00041484;34.1819;-118.5744;240.8;CA
USC00041497;6.02;6.46;5.32;2.75;1.73;0.73;0.14;0.20;0.69;2.16;6.74;4.67;USC00041497;40.1703;-121.0883;1389.9;CA
USC00041534;3.82;3.89;3.07;1.38;0.51;0.13;0.01;0.03;0.23;0.93;3.01;2.35;USC00041534;36.4806;-121.7244;146.3;CA
USC00041606;5.80;4.74;4.91;2.58;1.91;0.99;0.49;0.43;0.52;2.30;7.59;5.56;USC00041606;41.1417;-123.1392;704.1;CA
USC00041614;1.51;1.24;1.34;1.27;1.20;0.66;0.20;0.27;0.43;0.88;1.82;1.74;USC00041614;41.5306;-120.1803;1408.5;CA
USC00041697;9.13;8.68;7.24;3.74;2.14;0.74;0.14;0.13;0.91;3.16;8.81;5.69;USC00041697;37.9747;-119.9161;1452.4;CA
USC00041700;5.96;5.32;4.83;2.49;1.74;0.75;0.29;0.24;0.63;2.04;5.93;4.13;USC00041700;40.3033;-121.2422;1380.7;CA
USC00041715;4.86;4.42;4.29;1.75;1.04;0.48;0.02;0.08;0.42;1.42;4.61;3.28;USC00041715;39.6911;-121.8211;56.4;CA
USC00041738;0.83;0.74;0.48;0.19;0.08;0.02;0.29;0.52;0.35;0.23;0.61;0.36;USC00041738;33.6617;-115.7206;520;CA
USC00041758;1.94;2.30;1.69;0.69;0.09;0.07;0.03;0.01;0.14;0.53;1.43;0.91;USC00041758;32.64;-117.0858;17.1;CA
USC00041806;6.45;5.91;4.53;1.73;1.13;0.22;0.02;0.10;0.43;1.44;5.95;3.51;USC00041806;38.9239;-122.5672;411.2;CA
USC00041838;8.43;7.80;6.16;2.56;1.44;0.16;0.01;0.14;0.32;2.12;8.45;5.54;USC00041838;38.8;-123.0175;100.6;CA
USC00041864;1.92;1.72;1.51;0.43;0.29;0.07;-77.77;0.03;0.16;0.40;1.18;0.54;USC00041864;36.1356;-120.3606;204.2;CA
USC00041912;7.76;8.16;7.06;3.41;1.99;0.61;0.02;0.13;0.79;2.55;8.49;6.07;USC00041912;39.0911;-120.9481;725.4;CA
USC00041948;3.91;3.00;2.47;0.97;0.75;0.29;0.01;0.05;0.30;0.97;2.99;2.13;USC00041948;39.1875;-122.0269;15.2;CA
USC00041967;3.54;3.70;2.53;1.12;0.58;0.10;0.00;0.03;0.10;0.82;3.38;2.22;USC00041967;37.9833;-122.0692;12.2;CA
USC00042012;1.56;1.36;1.27;0.62;0.26;0.05;-77.77;0.01;0.14;0.44;1.08;0.76;USC00042012;36.0975;-119.5817;61;CA
USC00042081;7.84;6.91;5.45;2.88;1.69;0.49;0.04;0.18;0.44;2.29;8.69;5.56;USC00042081;39.8158;-123.2444;430.7;CA
USC00042147;10.82;8.92;9.11;6.34;3.54;2.01;0.35;0.57;1.19;4.51;13.70;10.18;USC00042147;41.7958;-124.2147;13.1;CA
USC00042214;2.81;3.75;2.39;0.60;0.31;0.06;0.01;0.01;0.11;0.53;2.13;1.22;USC00042214;34.0053;-118.4136;20.7;CA
USC00042239;5.54;6.52;5.77;2.67;0.71;0.20;0.41;0.82;0.74;1.88;4.89;3.26;USC00042239;32.9897;-116.5872;1414.3;CA
USC00042294;3.92;3.87;2.77;1.17;0.56;0.20;-77.77;0.05;0.26;0.90;3.54;2.36;USC00042294;38.535;-121.7761;18.3;CA
USC00042319;0.39;0.51;0.30;0.12;0.03;0.05;0.07;0.13;0.21;0.07;0.30;0.18;USC00042319;36.4622;-116.8669;-59.1;CA
USC00042331;0.67;1.02;0.71;0.35;0.48;0.18;0.85;0.85;0.32;0.29;0.59;0.52;USC00042331;37.3739;-117.9803;1592.6;CA
USC00042402;11.89;11.62;9.59;5.13;2.91;0.91;0.04;0.15;1.14;3.75;12.67;7.87;USC00042402;39.8717;-121.6108;826;CA
USC00042410;0.53;0.52;0.46;0.08;0.06;0.01;0.24;0.65;0.37;0.24;0.52;0.24;USC00042410;33.7378;-115.3925;227.7;CA
USC00042456;7.39;7.53;7.78;3.23;2.32;0.64;0.01;0.20;0.80;3.19;9.13;6.69;USC00042456;39.3575;-121.2011;499.9;CA
USC00042467;5.54;6.59;5.35;2.58;1.79;0.71;0.27;0.36;0.92;2.17;7.18;5.00;USC00042467;39.3239;-120.2331;1809.6;CA
USC00042500;10.63;10.52;9.68;4.88;3.41;0.93;0.18;0.21;1.13;3.74;11.82;8.11;USC00042500;39.5633;-120.8239;888.5;CA
USC00042506;1.95;2.17;1.89;0.94;0.97;0.62;0.35;0.30;0.64;1.03;2.51;2.32;USC00042506;39.9717;-120.0828;1338.1;CA
USC00042574;11.13;10.32;9.05;4.43;3.04;1.20;0.22;0.26;0.90;3.45;12.82;8.13;USC00042574;41.1833;-122.2736;661.4;CA
USC00042598;0.59;0.61;0.45;0.05;0.07;0.02;0.22;0.71;0.36;0.20;0.60;0.22;USC00042598;33.8089;-115.4508;296.6;CA
USC00042640;5.24;4.23;2.97;1.23;0.80;0.30;0.04;0.08;0.30;1.07;4.03;2.65;USC00042640;39.3592;-122.5178;367.3;CA
USC00042671;8.65;8.19;6.74;4.51;2.66;1.55;0.43;0.68;1.55;3.55;8.02;5.90;USC00042671;38.7833;-120.0333;2240.3;CA
USC00042706;2.25;2.58;2.35;0.84;0.13;0.07;0.14;0.02;0.15;0.61;1.81;1.36;USC00042706;32.8139;-116.975;123.4;CA
USC00042709;2.90;3.54;3.26;1.27;0.30;0.08;0.07;0.05;0.19;0.86;2.42;1.44;USC00042709;32.8839;-116.8164;182.9;CA
USC00042713;0.49;0.46;0.30;0.05;0.02;-77.77;0.06;0.27;0.28;0.34;0.41;0.17;USC00042713;32.7669;-115.5617;-9.1;CA
USC00042728;6.06;5.57;5.12;2.54;1.25;0.37;0.01;0.04;0.47;1.73;5.41;3.75;USC00042728;38.3306;-120.6706;217.9;CA
USC00042771;1.02;1.08;0.80;0.28;0.15;0.06;0.17;0.32;0.23;0.29;0.75;0.36;USC00042771;34.5892;-117.6303;899.2;CA
USC00042805;3.04;2.91;1.77;0.62;0.14;0.02;0.21;0.01;0.24;0.61;2.01;0.86;USC00042805;33.6692;-117.3319;391.7;CA
USC00042863;3.03;3.41;2.65;1.15;0.25;0.12;0.08;0.08;0.21;0.71;2.14;1.17;USC00042863;33.1211;-117.0883;182.9;CA
USC00042934;4.78;4.88;3.41;1.34;0.76;0.18;0.00;0.03;0.21;1.22;5.06;2.94;USC00042934;38.2736;-122.0678;12.2;CA
USC00042941;3.71;4.26;2.20;1.05;0.35;0.07;0.09;0.07;0.20;0.83;2.58;1.35;USC00042941;34.705;-118.4242;932.7;CA
USC00043083;2.06;1.48;1.37;0.52;0.30;0.17;0.00;0.02;0.21;0.49;1.16;0.62;USC00043083;36.3642;-120.1561;86.9;CA
USC00043157;2.42;2.09;2.08;1.68;1.33;0.85;0.24;0.31;0.48;1.15;3.10;2.39;USC00043157;41.52;-120.09;1442.3;CA
USC00043161;7.51;6.84;6.27;3.32;1.80;0.72;0.09;0.21;0.45;2.49;8.46;5.31;USC00043161;39.5092;-123.7567;37.5;CA
USC00043191;7.23;6.46;5.38;2.69;1.50;0.35;0.06;0.10;0.39;2.19;8.40;5.12;USC00043191;38.515;-123.2447;34.1;CA
USC00043244;3.07;3.17;2.92;1.16;0.49;0.10;0.00;0.04;0.21;0.85;2.82;1.85;USC00043244;37.5422;-122.0158;11.6;CA
USC00043256;2.27;1.99;2.48;1.02;0.56;0.22;0.04;0.03;0.33;0.66;2.00;1.20;USC00043256;36.7525;-119.7017;100;CA
USC00043261;2.96;2.60;2.63;1.19;0.49;0.21;0.01;0.01;0.18;0.84;2.33;1.48;USC00043261;36.9969;-119.7072;125;CA
USC00043384;8.53;8.94;8.37;4.45;2.29;0.68;0.02;0.12;0.81;2.85;8.08;6.39;USC00043384;38.9331;-120.8008;914.7;CA
USC00043392;4.08;4.92;2.95;1.01;0.36;0.12;0.02;0.07;0.23;0.85;1.73;1.23;USC00043392;34.0869;-118.4794;340.5;CA
USC00043417;4.38;4.13;3.00;1.25;0.49;0.11;0.01;0.03;0.24;0.92;3.70;2.28;USC00043417;37.0067;-121.5633;59.1;CA
USC00043463;3.60;3.75;3.43;1.74;0.78;0.15;0.08;0.12;0.26;0.91;3.05;2.33;USC00043463;35.7269;-118.7006;957.1;CA
USC00043489;0.61;0.61;0.48;0.09;0.12;0.05;0.51;0.26;0.22;0.28;0.60;0.16;USC00043489;32.8833;-114.8667;147.8;CA
USC00043551;7.81;7.33;6.67;3.65;1.60;0.53;0.23;0.13;0.90;2.47;6.67;4.27;USC00043551;36.7394;-118.9631;2011.7;CA
USC00043573;8.88;9.02;8.06;4.02;2.38;0.62;0.01;0.16;0.86;2.84;10.32;6.57;USC00043573;39.2042;-121.0681;731.5;CA
USC00043578;8.37;7.76;5.77;2.43;1.38;0.30;0.01;0.08;0.33;2.19;8.27;5.39;USC00043578;38.4306;-122.8647;61;CA
USC00043647;8.61;8.13;7.90;4.61;2.40;0.77;0.09;0.34;0.69;3.06;11.94;7.40;USC00043647;40.4864;-123.9089;125.9;CA
USC00043669;8.19;6.93;6.14;3.20;1.90;0.46;0.10;0.10;0.60;2.40;6.37;4.13;USC00043669;37.8444;-120.2258;853.4;CA
USC00043710;1.32;1.48;1.00;0.29;0.19;0.08;0.40;0.31;0.34;0.25;1.05;0.62;USC00043710;36.1389;-117.9528;1165.9;CA
USC00043714;5.53;5.19;4.22;1.90;0.98;0.29;0.14;0.22;0.37;1.56;5.28;3.32;USC00043714;37.4725;-122.4433;8.2;CA
USC00043747;1.79;1.45;1.65;0.78;0.26;0.09;0.05;0.01;0.14;0.49;1.46;0.79;USC00043747;36.3158;-119.6369;72.2;CA
USC00043824;2.89;2.52;2.59;1.62;1.35;0.63;0.20;0.24;0.63;1.21;2.84;2.44;USC00043824;40.9317;-121.5433;919;CA
USC00043855;0.95;0.72;0.58;0.09;0.06;-77.77;0.21;0.68;0.39;0.26;0.65;0.27;USC00043855;33.7044;-115.6289;417.6;CA
USC00043875;8.54;8.13;6.36;2.58;1.56;0.20;0.01;0.09;0.32;2.20;8.60;5.36;USC00043875;38.6175;-122.8731;32.9;CA
USC00043882;5.48;5.93;4.53;1.90;0.66;0.09;0.02;0.05;0.30;1.37;5.78;2.75;USC00043882;35.6842;-121.1683;465.1;CA
USC00043896;2.47;2.58;1.77;0.79;0.36;0.06;0.20;0.24;0.37;0.57;1.47;0.83;USC00043896;33.7381;-116.8939;552;CA
USC00043914;5.42;5.64;4.63;1.86;0.45;0.14;0.28;0.48;0.55;1.09;3.94;2.21;USC00043914;33.2372;-116.7614;823;CA
USC00043939;6.30;5.87;5.56;3.32;2.14;0.70;0.28;0.14;0.80;2.41;5.79;4.39;USC00043939;37.9614;-119.7831;1179.6;CA
USC00044025;2.93;2.74;2.36;0.97;0.40;0.07;-77.77;0.01;0.21;0.69;2.13;1.68;USC00044025;36.8483;-121.4214;83.8;CA
USC00044176;7.97;8.04;6.54;3.79;2.15;0.66;0.47;0.19;0.84;2.59;7.17;4.43;USC00044176;37.2275;-119.2206;2139.7;CA
USC00044211;4.89;5.37;3.78;1.81;0.44;0.16;0.66;0.79;0.84;1.22;3.72;2.50;USC00044211;33.7572;-116.7067;1639.8;CA
USC00044223;0.46;0.46;0.35;0.06;0.04;-77.77;0.10;0.23;0.27;0.28;0.44;0.21;USC00044223;32.8489;-115.5667;-19.5;CA
USC00044232;1.16;1.01;0.64;0.19;0.10;0.16;0.12;0.12;0.14;0.21;0.97;0.66;USC00044232;36.7981;-118.2036;1204;CA
USC00044259;0.56;0.64;0.43;0.05;0.07;0.01;0.04;0.54;0.04;0.26;0.62;0.18;USC00044259;33.7086;-116.2153;-6.4;CA
USC00044278;0.93;1.19;0.57;0.12;0.07;0.04;0.16;0.26;0.17;0.10;0.98;0.35;USC00044278;35.6514;-117.8214;740.7;CA
USC00044297;0.60;0.68;0.54;0.09;0.10;-77.77;0.28;0.42;0.27;0.25;0.58;0.20;USC00044297;34.1472;-115.1219;281;CA
USC00044303;2.92;3.31;2.14;0.94;0.28;0.12;0.05;0.05;0.20;0.74;2.40;1.17;USC00044303;33.72;-117.7231;164.6;CA
USC00044374;1.80;1.46;1.97;2.17;2.47;1.62;0.41;0.46;0.73;1.31;2.45;2.25;USC00044374;41.2683;-120.2947;1645.9;CA
USC00044405;0.77;0.82;0.60;0.10;0.33;0.04;0.24;0.55;0.34;0.39;0.29;0.64;USC00044405;34.1469;-116.2747;781.2;CA
USC00044412;3.90;4.78;4.28;1.82;0.29;0.12;0.27;0.37;0.46;1.02;3.29;2.32;USC00044412;33.0764;-116.5925;1284.7;CA
USW00093101;2.73;3.63;2.44;0.86;0.23;0.11;0.03;0.05;0.25;0.65;2.27;1.13;USW00093101;33.6667;-117.7333;116.1;CA
USC00044500;9.13;9.12;6.56;2.49;1.48;0.25;-77.77;0.06;0.26;2.26;9.91;6.46;USC00044500;37.9569;-122.5439;44.2;CA
USW00093107;1.90;2.57;1.98;0.81;0.18;0.07;0.08;0.02;0.17;0.56;1.75;1.07;USW00093107;32.8667;-117.1333;145.4;CA
